,Date,Ticker,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%)
0,01 Dec '19,APPL,1.59,Overweight ,43,51.2,4.7,30.2,2.3,11.6,256.75,39,-3.9
1,30 Sep '19,APPL,1.62,Overweight ,42,45.2,4.8,40.5,0.0,9.5,225.52,37,0.7
2,28 Jun '19,APPL,1.58,Overweight ,42,47.6,2.4,42.9,0.0,7.1,210.87,36,6.5
3,29 Mar '19,APPL,1.54,Overweight ,39,46.2,5.1,46.2,0.0,2.6,191.29,32,0.7
4,31 Dec '18,APPL,1.51,Overweight ,42,47.6,7.1,42.9,0.0,2.4,218.73,33,38.7
5,28 Sep '18,APPL,1.43,Overweight ,41,56.1,7.3,34.1,0.0,2.4,233.20,34,3.3
6,29 Jun '18,APPL,1.45,Overweight ,42,50.0,9.5,40.5,0.0,0.0,199.14,35,7.6
7,29 Mar '18,APPL,1.44,Overweight ,39,51.3,10.3,38.5,0.0,0.0,191.66,32,14.2
8,29 Dec '17,APPL,1.25,Overweight ,38,68.4,13.2,18.4,0.0,0.0,191.84,32,13.4
9,29 Sep '17,APPL,1.31,Overweight ,37,64.9,13.5,18.9,0.0,2.7,177.13,32,14.9
10,30 Jun '17,APPL,1.34,Overweight ,43,62.8,11.6,23.3,0.0,2.3,162.94,37,13.1
11,31 Mar '17,APPL,1.30,Overweight ,42,64.3,11.9,23.8,0.0,0.0,151.39,37,5.4
12,30 Dec '16,APPL,1.30,Overweight ,46,67.4,13.0,15.2,0.0,4.3,130.45,40,12.6
13,30 Sep '16,APPL,1.29,Overweight ,45,71.1,11.1,11.1,2.2,4.4,125.20,39,10.7
14,30 Jun '16,APPL,1.17,Buy ,44,81.8,6.8,9.1,0.0,2.3,122.11,40,27.7
15,31 Mar '16,APPL,1.20,Buy ,47,78.7,6.4,12.8,0.0,2.1,132.83,41,21.9
16,31 Dec '15,APPL,1.24,Buy ,50,74.0,8.0,16.0,0.0,2.0,145.70,43,38.4
17,30 Sep '15,APPL,1.30,Overweight ,51,68.6,9.8,17.6,0.0,3.9,145.84,44,32.2
18,30 Jun '15,APPL,1.38,Overweight ,51,60.8,9.8,25.5,0.0,3.9,147.28,43,17.4
19,31 Mar '15,APPL,1.36,Overweight ,49,63.3,10.2,22.4,0.0,4.1,138.35,41,11.2
20,31 Dec '14,APPL,1.34,Overweight ,50,66.0,8.0,22.0,0.0,4.0,121.74,43,10.3
24,01 Dec '19,AMZN,1.08,Buy ,49,87.8,8.2,4.1,0.0,0.0,"2,178.08",45,21.0
25,30 Sep '19,AMZN,1.04,Buy ,47,91.5,8.5,0.0,0.0,0.0,"2,293.77",42,32.1
26,28 Jun '19,AMZN,1.04,Buy ,47,91.5,8.5,0.0,0.0,0.0,"2,249.73",43,18.8
27,29 Mar '19,AMZN,1.06,Buy ,44,88.6,11.4,0.0,0.0,0.0,"2,121.40",40,19.1
28,31 Dec '18,AMZN,1.07,Buy ,47,87.2,10.6,2.1,0.0,0.0,"2,153.45",44,43.4
29,28 Sep '18,AMZN,1.10,Buy ,47,85.1,10.6,4.3,0.0,0.0,"2,198.21",44,9.7
30,29 Jun '18,AMZN,1.09,Buy ,48,85.4,10.4,4.2,0.0,0.0,"1,891.67",43,11.3
31,29 Mar '18,AMZN,1.10,Buy ,46,84.8,10.9,4.3,0.0,0.0,"1,699.93",43,17.5
32,29 Dec '17,AMZN,1.13,Buy ,49,81.6,10.2,8.2,0.0,0.0,"1,297.49",43,10.9
33,29 Sep '17,AMZN,1.19,Buy ,47,78.7,8.5,10.6,0.0,2.1,"1,161.68",40,20.8
34,30 Jun '17,AMZN,1.17,Buy ,42,78.6,9.5,11.9,0.0,0.0,"1,127.86",35,16.5
35,31 Mar '17,AMZN,1.16,Buy ,46,78.3,10.9,10.9,0.0,0.0,956.88,40,7.9
36,30 Dec '16,AMZN,1.16,Buy ,43,76.7,14.0,9.3,0.0,0.0,942.92,38,25.7
37,30 Sep '16,AMZN,1.18,Buy ,45,75.6,13.3,11.1,0.0,0.0,905.59,39,8.2
38,30 Jun '16,AMZN,1.18,Buy ,44,75.0,13.6,11.4,0.0,0.0,817.59,39,14.2
39,31 Mar '16,AMZN,1.17,Buy ,46,76.1,13.0,10.9,0.0,0.0,739.49,41,24.6
